Product Name,Original Price,Discounted Price,Discount Percentage,Customer Rating (out of 5),Number of Reviews,Product URL,Category
"Multi Function Manual Juicer Fruits & Vegetable Blender, 250ml - Green","UGX 39,900","UGX 39,500",1%,3.5,156.0,https://www.jumia.ug/multi-function-manual-juicer-fruits-vegetable-blender-250ml-green-generic-mpg975540.html,Kitchen Appliance
"Rechargeable Portable Electric Juice Blender - Green,puple,blue,pink","UGX 69,984","UGX 29,000",59%,3.3,20.0,https://www.jumia.ug/generic-rechargeable-portable-electric-juice-blender-greenpuplebluepink-44860939.html,Kitchen Appliance
Sonashi 3 Ltr Pressure Cooker - SPC-230 Silver (1 YR WRNTY),"UGX 90,000","UGX 71,000",21%,3.2,6.0,https://www.jumia.ug/sonashi-3-ltr-pressure-cooker-spc-230-silver-1-yr-wrnty-251687069.html,Kitchen Appliance
7 Speed Electric Hand Mixer 260W - White,"UGX 60,000","UGX 25,000",58%,,38.0,https://www.jumia.ug/generic-7-speed-electric-hand-mixer-260w-white-59320813.html,Kitchen Appliance
Multi-Functional Small Electric Oven Baking At Home Kitchen Appliances Automatic Mini,"UGX 140,000","UGX 97,000",31%,3.6,5.0,https://www.jumia.ug/generic-multi-functional-small-electric-oven-baking-at-home-kitchen-appliances-automatic-mini-247368735.html,Kitchen Appliance
Single Solid Electric Hotplate 1000W - Black & White,"UGX 80,000","UGX 32,000",60%,3.8,48.0,https://www.jumia.ug/solid-electric-hotplate-1000w-black-white-generic-mpg1051788.html,Kitchen Appliance
Orignal Juice Blender - Black,"UGX 120,000","UGX 62,000",48%,2.0,4.0,https://www.jumia.ug/generic-orignal-juice-blender-black-252710355.html,Kitchen Appliance
Wireless Mini High Efficiency Electric Coffee Blender Black,"UGX 28,000","UGX 15,560",44%,3.1,7.0,https://www.jumia.ug/generic-wireless-mini-high-efficiency-electric-coffee-blender-black-227330199.html,Kitchen Appliance
"Commercial Blender, Heavy Duty Smoothies, Fruits & Ice Crusher For Business  & Domestic Use - Black  Or Red","UGX 182,000","UGX 179,000",2%,4.0,22.0,https://www.jumia.ug/commercial-blender-heavy-duty-smoothies-fruits-ice-crusher-for-business-domestic-use-black-or-red-generic-mpg486623.html,Kitchen Appliance
Hoffmans  7.5litres Air Fryer HM-775 - Black,"UGX 250,000","UGX 138,000",45%,3.9,105.0,https://www.jumia.ug/7.5litres-air-fryer-hm-775-black-hoffmans-mpg4801344.html,Kitchen Appliance
Pixel 45 Liters Oven With Two Hot Plates Rotisserie - Black,"UGX 260,000","UGX 238,000",8%,4.5,43.0,https://www.jumia.ug/pixel-45-liters-oven-with-two-hot-plates-rotisserie-black-123056405.html,Kitchen Appliance
Blender  Black,"UGX 200,000","UGX 100,000",50%,4.5,6.0,https://www.jumia.ug/generic-blender-black-203369310.html,Kitchen Appliance
2 Slice Sandwich maker Non Stick Surface Bread Toaster Baker,"UGX 100,000","UGX 43,000",57%,3.6,8.0,https://www.jumia.ug/generic-2-slice-sandwich-maker-non-stick-surface-bread-toaster-baker-245442607.html,Kitchen Appliance
Portable Rechargable Usb Mini Blender Juicer 380ml -Multicolor,"UGX 40,000","UGX 26,000",35%,3.1,613.0,https://www.jumia.ug/portable-rechargable-usb-mini-blender-juicer-380ml-multicolor-generic-mpg823783.html,Kitchen Appliance
Hoffmans 8L Digital Electric Airfryer / Air Fryer - Black,"UGX 300,000","UGX 190,000",37%,4.3,19.0,https://www.jumia.ug/hoffmans-8l-digital-electric-airfryer-air-fryer-black-137079780.html,Kitchen Appliance
ADH LSJ 18 Liter 2 Tap Electric  Double Commercial Juice Dispenser - White,"UGX 2,000,000","UGX 1,190,000",41%,5.0,3.0,https://www.jumia.ug/adh-lsj-18-liter-2-tap-electric-double-commercial-juice-dispenser-white-214878784.html,Kitchen Appliance
Double Coil Hotplate Cooker Plus A Free 4 Way Extension- White,"UGX 139,000","UGX 55,600",60%,3.7,15.0,https://www.jumia.ug/double-coil-hotplate-cooker-plus-a-free-4-way-extension-white-generic-mpg521950.html,Kitchen Appliance
Wireless Mini High Efficiency Electric Coffee Blender-White,"UGX 28,067","UGX 15,230",46%,3.6,5.0,https://www.jumia.ug/generic-wireless-mini-high-efficiency-electric-coffee-blender-white-206613513.html,Kitchen Appliance
